simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
35,Beverton-Holt,sigma,0.5,Beverton-Holt,0.61,0.49,0.77,1,21.999999999999996,4.04,0.5,-1.19
36,Beverton-Holt,alpha,4.61,Ricker,0.93,0.56,1.3,1.005,-79.82646420824294,4.61,0.5,0.39
36,Beverton-Holt,b_for,0.39,Ricker,0.14,-0.06,0.34,1.003,-64.1025641025641,4.61,0.5,0.39
36,Beverton-Holt,sigma,0.5,Ricker,0.6,0.49,0.76,1.002,19.999999999999996,4.61,0.5,0.39
36,Beverton-Holt,alpha,4.61,Beverton-Holt,6.52,2.73,9.83,1,41.43167028199564,4.61,0.5,0.39
36,Beverton-Holt,b_for,0.39,Beverton-Holt,0.31,0.15,0.46,1,-20.512820512820518,4.61,0.5,0.39
36,Beverton-Holt,sigma,0.5,Beverton-Holt,0.51,0.41,0.64,1.002,2.0000000000000018,4.61,0.5,0.39
39,Beverton-Holt,alpha,4.38,Ricker,1.28,1.02,1.54,1.001,-70.77625570776254,4.38,0.2,-0.16
39,Beverton-Holt,b_for,-0.16,Ricker,-0.35,-0.45,-0.26,1,118.74999999999997,4.38,0.2,-0.16
39,Beverton-Holt,sigma,0.2,Ricker,0.29,0.24,0.36,1,44.99999999999998,4.38,0.2,-0.16
39,Beverton-Holt,alpha,4.38,Beverton-Holt,6.93,3.51,9.86,1.002,58.219178082191775,4.38,0.2,-0.16
39,Beverton-Holt,b_for,-0.16,Beverton-Holt,-0.17,-0.24,-0.11,1.001,6.250000000000005,4.38,0.2,-0.16
39,Beverton-Holt,sigma,0.2,Beverton-Holt,0.22,0.18,0.27,1,9.999999999999995,4.38,0.2,-0.16
41,Beverton-Holt,alpha,3.86,Ricker,0.61,0.25,0.96,1.002,-84.19689119170985,3.86,0.8,0.76
41,Beverton-Holt,b_for,0.76,Ricker,0.2,-0.07,0.46,1.002,-73.6842105263158,3.86,0.8,0.76
41,Beverton-Holt,sigma,0.8,Ricker,0.79,0.64,0.99,1.004,-1.250000000000001,3.86,0.8,0.76
41,Beverton-Holt,alpha,3.86,Beverton-Holt,4.92,1.2,9.75,1.004,27.46113989637306,3.86,0.8,0.76
41,Beverton-Holt,b_for,0.76,Beverton-Holt,0.59,0.26,0.84,1.005,-22.368421052631582,3.86,0.8,0.76
41,Beverton-Holt,sigma,0.8,Beverton-Holt,0.7,0.57,0.88,1.002,-12.50000000000001,3.86,0.8,0.76
43,Beverton-Holt,alpha,7.25,Ricker,0.61,0.07,1.25,1.003,-91.58620689655173,7.25,1.3,-0.54
43,Beverton-Holt,b_for,-0.54,Ricker,-0.51,-1.07,0.06,1.003,-5.55555555555556,7.25,1.3,-0.54
43,Beverton-Holt,sigma,1.3,Ricker,1.95,1.58,2.43,1.001,49.999999999999986,7.25,1.3,-0.54
43,Beverton-Holt,alpha,7.25,Beverton-Holt,6.97,3.48,9.85,1,-3.8620689655172447,7.25,1.3,-0.54
43,Beverton-Holt,b_for,-0.54,Beverton-Holt,-0.69,-1.08,-0.29,0.999,27.77777777777776,7.25,1.3,-0.54
