simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
7,Beverton-Holt,alpha,1.1977271169089794,Ricker,1.24,0.87,1.6,1.001,3.529425233363329,1.1977271169089794,0.8538555700378057,-0.3262850076540331,1.24,0.78,-0.56
7,Beverton-Holt,b_for,-0.3262850076540331,Ricker,-0.56,-0.8,-0.31,1.002,71.62909323550038,1.1977271169089794,0.8538555700378057,-0.3262850076540331,1.24,0.78,-0.56
7,Beverton-Holt,sigma,0.8538555700378057,Ricker,0.78,0.63,0.99,1.001,-8.649656057702542,1.1977271169089794,0.8538555700378057,-0.3262850076540331,1.24,0.78,-0.56
8,Beverton-Holt,alpha,1.418812411015515,Beverton-Holt,1.11,0.53,1.82,1.005,-21.765556081827782,1.418812411015515,0.9969596568620035,-1.4141637700195093,1.11,0.78,-1.57
8,Beverton-Holt,b_for,-1.4141637700195093,Beverton-Holt,-1.57,-1.81,-1.29,1.002,11.019673483668788,1.418812411015515,0.9969596568620035,-1.4141637700195093,1.11,0.78,-1.57
8,Beverton-Holt,sigma,0.9969596568620035,Beverton-Holt,0.78,0.64,0.99,1.004,-21.762130028901904,1.418812411015515,0.9969596568620035,-1.4141637700195093,1.11,0.78,-1.57
8,Beverton-Holt,alpha,1.418812411015515,Ricker,0.87,0.51,1.22,1.004,-38.68111152359476,1.418812411015515,0.9969596568620035,-1.4141637700195093,0.87,0.81,-1.53
8,Beverton-Holt,b_for,-1.4141637700195093,Ricker,-1.53,-1.78,-1.28,1.001,8.191146770709071,1.418812411015515,0.9969596568620035,-1.4141637700195093,0.87,0.81,-1.53
8,Beverton-Holt,sigma,0.9969596568620035,Ricker,0.81,0.67,1.02,1.001,-18.75298118385967,1.418812411015515,0.9969596568620035,-1.4141637700195093,0.87,0.81,-1.53
9,Beverton-Holt,alpha,2.3550688400789115,Beverton-Holt,4.41,1.39,9.69,1.004,87.25567274085432,2.3550688400789115,1.2347700446794474,1.3666625017244591,4.41,1.26,1.24
9,Beverton-Holt,b_for,1.3666625017244591,Beverton-Holt,1.24,0.84,1.63,1.003,-9.268016175510486,2.3550688400789115,1.2347700446794474,1.3666625017244591,4.41,1.26,1.24
9,Beverton-Holt,sigma,1.2347700446794474,Beverton-Holt,1.26,1.03,1.61,1.005,2.0432918201463526,2.3550688400789115,1.2347700446794474,1.3666625017244591,4.41,1.26,1.24
9,Beverton-Holt,alpha,2.3550688400789115,Ricker,1.35,0.76,1.95,1,-42.67683487524868,2.3550688400789115,1.2347700446794474,1.3666625017244591,1.35,1.32,1.36
9,Beverton-Holt,b_for,1.3666625017244591,Ricker,1.36,0.94,1.76,1,-0.4875016118502022,2.3550688400789115,1.2347700446794474,1.3666625017244591,1.35,1.32,1.36
9,Beverton-Holt,sigma,1.2347700446794474,Ricker,1.32,1.07,1.68,1,6.902496192534278,2.3550688400789115,1.2347700446794474,1.3666625017244591,1.35,1.32,1.36
10,Beverton-Holt,alpha,2.363190716613731,Beverton-Holt,1.86,1.45,2.37,1.027,-21.292852628278943,2.363190716613731,1.2007454030179476,-0.6151079864129756,1.86,1.28,-0.66
10,Beverton-Holt,b_for,-0.6151079864129756,Beverton-Holt,-0.66,-1.04,-0.28,1.012,7.298232924728198,2.363190716613731,1.2007454030179476,-0.6151079864129756,1.86,1.28,-0.66
10,Beverton-Holt,sigma,1.2007454030179476,Beverton-Holt,1.28,1.05,1.61,1.009,6.600449752533241,2.363190716613731,1.2007454030179476,-0.6151079864129756,1.86,1.28,-0.66
10,Beverton-Holt,alpha,2.363190716613731,Ricker,1.97,1.54,2.47,1.01,-16.638128858983617,2.363190716613731,1.2007454030179476,-0.6151079864129756,1.97,1.3,-0.69
10,Beverton-Holt,b_for,-0.6151079864129756,Ricker,-0.69,-1.1,-0.29,1.011,12.175425330397648,2.363190716613731,1.2007454030179476,-0.6151079864129756,1.97,1.3,-0.69
10,Beverton-Holt,sigma,1.2007454030179476,Ricker,1.3,1.06,1.66,1.006,8.266081779916574,2.363190716613731,1.2007454030179476,-0.6151079864129756,1.97,1.3,-0.69
11,Beverton-Holt,alpha,3.6577176989546407,Beverton-Holt,4.96,1.99,9.69,1.001,35.60368536416973,3.6577176989546407,1.2307141110818516,0.5970861416830218,4.96,1.26,0.44
11,Beverton-Holt,b_for,0.5970861416830218,Beverton-Holt,0.44,0.04,0.85,1.001,-26.30879042682838,3.6577176989546407,1.2307141110818516,0.5970861416830218,4.96,1.26,0.44
11,Beverton-Holt,sigma,1.2307141110818516,Beverton-Holt,1.26,1.03,1.58,1.001,2.3795850437113173,3.6577176989546407,1.2307141110818516,0.5970861416830218,4.96,1.26,0.44
11,Beverton-Holt,alpha,3.6577176989546407,Ricker,1.97,1.42,2.55,1.001,-46.141278192053555,3.6577176989546407,1.2307141110818516,0.5970861416830218,1.97,1.25,0.56
11,Beverton-Holt,b_for,0.5970861416830218,Ricker,0.56,0.17,0.95,1,-6.211187815963383,3.6577176989546407,1.2307141110818516,0.5970861416830218,1.97,1.25,0.56
11,Beverton-Holt,sigma,1.2307141110818516,Ricker,1.25,1.02,1.57,1.001,1.5670486544755124,3.6577176989546407,1.2307141110818516,0.5970861416830218,1.97,1.25,0.56
12,Beverton-Holt,alpha,2.2770439108058977,Beverton-Holt,2.33,1.75,3.1,1,2.3256507677693383,2.2770439108058977,0.8031355248166134,-0.031532841514366194,2.33,0.82,-0.08
12,Beverton-Holt,b_for,-0.031532841514366194,Beverton-Holt,-0.08,-0.34,0.17,1,153.7037455490728,2.2770439108058977,0.8031355248166134,-0.031532841514366194,2.33,0.82,-0.08
12,Beverton-Holt,sigma,0.8031355248166134,Beverton-Holt,0.82,0.67,1.04,1.001,2.0998293142663966,2.2770439108058977,0.8031355248166134,-0.031532841514366194,2.33,0.82,-0.08
12,Beverton-Holt,alpha,2.2770439108058977,Ricker,1.94,1.57,2.3,1.002,-14.801818674046135,2.2770439108058977,0.8031355248166134,-0.031532841514366194,1.94,0.83,-0.03
12,Beverton-Holt,b_for,-0.031532841514366194,Ricker,-0.03,-0.29,0.24,1.001,-4.861095419097708,2.2770439108058977,0.8031355248166134,-0.031532841514366194,1.94,0.83,-0.03
12,Beverton-Holt,sigma,0.8031355248166134,Ricker,0.83,0.68,1.07,1.001,3.3449491839525733,2.2770439108058977,0.8031355248166134,-0.031532841514366194,1.94,0.83,-0.03
13,Beverton-Holt,alpha,0.7428929413223251,Beverton-Holt,0.82,0.12,2.17,1.002,10.379296179665785,0.7428929413223251,1.1043433052647464,-0.23748775697183697,0.82,1.14,-0.21
13,Beverton-Holt,b_for,-0.23748775697183697,Beverton-Holt,-0.21,-0.58,0.16,1.002,-11.574389064231498,0.7428929413223251,1.1043433052647464,-0.23748775697183697,0.82,1.14,-0.21
13,Beverton-Holt,sigma,1.1043433052647464,Beverton-Holt,1.14,0.93,1.44,1.002,3.2287690399594906,0.7428929413223251,1.1043433052647464,-0.23748775697183697,0.82,1.14,-0.21
13,Beverton-Holt,alpha,0.7428929413223251,Ricker,0.54,0.11,1.05,1.001,-27.31119519875667,0.7428929413223251,1.1043433052647464,-0.23748775697183697,0.54,1.12,-0.19
13,Beverton-Holt,b_for,-0.23748775697183697,Ricker,-0.19,-0.52,0.16,1.002,-19.99587582001897,0.7428929413223251,1.1043433052647464,-0.23748775697183697,0.54,1.12,-0.19
13,Beverton-Holt,sigma,1.1043433052647464,Ricker,1.12,0.92,1.41,1,1.4177380041707457,0.7428929413223251,1.1043433052647464,-0.23748775697183697,0.54,1.12,-0.19
14,Beverton-Holt,alpha,5.732509878596245,Beverton-Holt,6.67,3.94,9.76,1.002,16.353920730326312,5.732509878596245,0.5918938942421816,0.272174397221604,6.67,0.59,0.26
