simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
47,Beverton-Holt,b_for,0.52,Ricker,0.21,0.1,0.33,1.004,-59.61538461538463,1.76,0.2,0.52
47,Beverton-Holt,sigma,0.2,Ricker,0.22,0.18,0.28,1.002,9.999999999999995,1.76,0.2,0.52
47,Beverton-Holt,alpha,1.76,Beverton-Holt,1.2,0.67,1.91,1.005,-31.818181818181824,1.76,0.2,0.52
47,Beverton-Holt,b_for,0.52,Beverton-Holt,0.39,0.21,0.58,1.005,-25,1.76,0.2,0.52
47,Beverton-Holt,sigma,0.2,Beverton-Holt,0.21,0.17,0.26,1.002,4.99999999999999,1.76,0.2,0.52
48,Beverton-Holt,alpha,2.41,Ricker,0.81,0.26,1.37,1.002,-66.39004149377593,2.41,1.4,-0.39
48,Beverton-Holt,b_for,-0.39,Ricker,-0.22,-0.65,0.2,1,-43.58974358974359,2.41,1.4,-0.39
48,Beverton-Holt,sigma,1.4,Ricker,1.47,1.2,1.84,0.999,5.000000000000004,2.41,1.4,-0.39
48,Beverton-Holt,alpha,2.41,Beverton-Holt,1.43,0.5,2.7,1.003,-40.663900414937764,2.41,1.4,-0.39
48,Beverton-Holt,b_for,-0.39,Beverton-Holt,-0.19,-0.62,0.23,1,-51.28205128205128,2.41,1.4,-0.39
48,Beverton-Holt,sigma,1.4,Beverton-Holt,1.46,1.18,1.82,1.001,4.28571428571429,2.41,1.4,-0.39
49,Beverton-Holt,alpha,1.68,Ricker,0.3,0.14,0.46,1.001,-82.14285714285714,1.68,0.2,-0.93
49,Beverton-Holt,b_for,-0.93,Ricker,-0.65,-0.83,-0.47,1,-30.107526881720432,1.68,0.2,-0.93
49,Beverton-Holt,sigma,0.2,Ricker,0.47,0.38,0.59,1.002,134.99999999999997,1.68,0.2,-0.93
49,Beverton-Holt,alpha,1.68,Beverton-Holt,1.73,1.52,1.98,1,2.976190476190479,1.68,0.2,-0.93
49,Beverton-Holt,b_for,-0.93,Beverton-Holt,-0.95,-0.99,-0.91,1,2.150537634408592,1.68,0.2,-0.93
49,Beverton-Holt,sigma,0.2,Beverton-Holt,0.12,0.1,0.15,1.002,-40.00000000000001,1.68,0.2,-0.93
51,Ricker,alpha,1.58,Ricker,1.56,1.3,1.83,1,-1.2658227848101276,1.58,0.7,-0.51
51,Ricker,b_for,-0.51,Ricker,-0.4,-0.57,-0.22,1,-21.568627450980387,1.58,0.7,-0.51
51,Ricker,sigma,0.7,Ricker,0.59,0.48,0.75,1.001,-15.714285714285714,1.58,0.7,-0.51
51,Ricker,alpha,1.58,Beverton-Holt,3.01,1.42,8.12,1.004,90.50632911392402,1.58,0.7,-0.51
51,Ricker,b_for,-0.51,Beverton-Holt,-0.07,-0.4,0.25,1,-86.27450980392156,1.58,0.7,-0.51
51,Ricker,sigma,0.7,Beverton-Holt,1.05,0.85,1.31,1.001,50.000000000000014,1.58,0.7,-0.51
52,Ricker,alpha,0.92,Ricker,1.14,0.81,1.47,1.001,23.913043478260853,0.92,0.9,-1.01
52,Ricker,b_for,-1.01,Ricker,-0.85,-1.12,-0.57,1,-15.841584158415845,0.92,0.9,-1.01
52,Ricker,sigma,0.9,Ricker,0.81,0.65,1.01,1.001,-9.999999999999996,0.92,0.9,-1.01
52,Ricker,alpha,0.92,Beverton-Holt,1.45,0.7,2.52,1.001,57.6086956521739,0.92,0.9,-1.01
52,Ricker,b_for,-1.01,Beverton-Holt,-0.58,-0.9,-0.26,1.001,-42.57425742574258,0.92,0.9,-1.01
52,Ricker,sigma,0.9,Beverton-Holt,1.05,0.86,1.32,1.002,16.666666666666668,0.92,0.9,-1.01
53,Ricker,alpha,1.89,Ricker,1.98,1.82,2.14,1.002,4.761904761904766,1.89,0.2,-0.08
53,Ricker,b_for,-0.08,Ricker,-0.09,-0.15,-0.03,1,12.499999999999995,1.89,0.2,-0.08
53,Ricker,sigma,0.2,Ricker,0.18,0.15,0.23,1,-10.000000000000009,1.89,0.2,-0.08
53,Ricker,alpha,1.89,Beverton-Holt,5.04,2.48,9.62,1.003,166.6666666666667,1.89,0.2,-0.08
53,Ricker,b_for,-0.08,Beverton-Holt,-0,-0.13,0.12,1.001,-100,1.89,0.2,-0.08
53,Ricker,sigma,0.2,Beverton-Holt,0.39,0.31,0.48,1.003,95,1.89,0.2,-0.08
55,Beverton-Holt,alpha,2.52,Ricker,0.23,0.02,0.54,1.001,-90.87301587301587,2.52,0.7,-1.91
55,Beverton-Holt,b_for,-1.91,Ricker,-0.72,-1.09,-0.34,1,-62.30366492146597,2.52,0.7,-1.91
55,Beverton-Holt,sigma,0.7,Ricker,1.23,0.99,1.54,1.002,75.71428571428572,2.52,0.7,-1.91
55,Beverton-Holt,alpha,2.52,Beverton-Holt,2.12,1.33,3.38,1.003,-15.87301587301587,2.52,0.7,-1.91
55,Beverton-Holt,b_for,-1.91,Beverton-Holt,-1.84,-2.08,-1.59,1.001,-3.664921465968578,2.52,0.7,-1.91
55,Beverton-Holt,sigma,0.7,Beverton-Holt,0.68,0.55,0.86,1.001,-2.857142857142844,2.52,0.7,-1.91
58,Beverton-Holt,alpha,2.49,Ricker,0.24,0.01,0.61,1.001,-90.36144578313252,2.49,0.8,-2.25
58,Beverton-Holt,b_for,-2.25,Ricker,-0.68,-1.12,-0.25,1,-69.77777777777777,2.49,0.8,-2.25
58,Beverton-Holt,sigma,0.8,Ricker,1.43,1.15,1.8,1.002,78.74999999999997,2.49,0.8,-2.25
58,Beverton-Holt,alpha,2.49,Beverton-Holt,2.34,1.35,4.44,1.013,-6.024096385542182,2.49,0.8,-2.25
58,Beverton-Holt,b_for,-2.25,Beverton-Holt,-1.96,-2.27,-1.63,1.005,-12.888888888888891,2.49,0.8,-2.25
58,Beverton-Holt,sigma,0.8,Beverton-Holt,0.83,0.66,1.04,1.002,3.7499999999999893,2.49,0.8,-2.25
59,Beverton-Holt,alpha,0.52,Ricker,0.22,0.09,0.35,1.002,-57.6923076923077,0.52,0.2,-0.86
59,Beverton-Holt,b_for,-0.86,Ricker,-0.67,-0.82,-0.52,1.001,-22.093023255813947,0.52,0.2,-0.86
59,Beverton-Holt,sigma,0.2,Ricker,0.38,0.31,0.48,1.002,90,0.52,0.2,-0.86
