"Species","River","River_GFE_ID","GFE_ID","WATERSHED_CDE","DFO","CU","BroodYear","area_km2","ln_area_km2","ln_area_km2_std","Spawners","logS","Recruits","Returns","recruitPerSpawner","ln_RS","ECA_age_proxy","ECA_age_proxy_forested_only","ECA_age_proxy_forested_only_std","disturbedarea_m2_3005","disturbedarea_m2_cs","disturbedarea_prct_cs","lake_cover_pct","var_eaubc_KFACTOR","var_eaubc_MELTONS_R","vri_bec_zone","npgo","portion_reporting_vri_cover1_missing","hatchery_enhancement","year_of_enhacement","forested_area_m2","disturbedarea_m2_total","permament_dist_m2","X_LONG","Y_LAT","CU_NAME","distance","sst_ersst_lat","sst_ersst_lon","sst_ersst_year","spring_ersst","pdo","pdo.std"
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1974,116.417960033773,4.75718681921775,0.721162913047491,15000,9.61580548008435,13582.8706407921,21772.9997242769,0.905524709386138,-0.0992407139181851,0.0208,0.0315,-0.501021310830093,22263.289113339,9215017.70500312,15.4160064236087,0.014,-1.29417,0.275436,"CWH",0.767079306860767,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1975,11.0926043987274,-1.41166666666667,-1.50801653381445
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1975,116.417960033773,4.75718681921775,0.721162913047491,3500,8.1605182474775,3302.50326154366,4524.17460838877,0.943572360441047,-0.0580822234831284,0.0312,0.0512,-0.316287858638307,1174630.28095949,10389647.9859626,17.3810713357255,0.014,-1.29417,0.275436,"CWH",1.22861625793987,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1976,10.9612121582031,-0.149166666666667,0.0924409410362468
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1976,116.417960033773,4.75718681921775,0.721162913047491,7500,8.9226582995244,4263.20853963146,9757.63639259277,0.568427805284195,-0.56488096544019,0.031,0.0508,-0.320038791677734,0,10389647.9859626,17.3810713357255,0.014,-1.29417,0.275436,"CWH",1.52569875564638,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1977,11.5146353244781,0.045,0.338583905815265
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1977,116.417960033773,4.75718681921775,0.721162913047491,4700,8.45531778769815,13873.6011141196,4762.83635725442,2.95183002428077,1.08242532522976,0.0339,0.0522,-0.306910526039739,82303.1519770426,10471951.1379397,17.5187580944685,0.014,-1.29417,0.275436,"CWH",0.972482979788495,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1978,12.1325216293335,0.0716666666666666,0.372388948188349
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1978,116.417960033773,4.75718681921775,0.721162913047491,9000,9.10497985631836,14183.0835325038,12801.4693037166,1.5758981702782,0.45482537658055,0.0338,0.052,-0.308785992559453,0,10471951.1379397,17.5187580944685,0.014,-1.29417,0.275436,"CWH",-0.536063578476532,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1979,11.6967329978943,0.1075,0.417814473877181
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1979,116.417960033773,4.75718681921775,0.721162913047491,3750,8.22951111896446,4766.71242915728,3843.7093770848,1.27112331444194,0.239901009091854,0.0345,0.0533,-0.296595460181314,78523.6257135348,10550474.7636532,17.6501220003401,0.014,-1.29417,0.275436,"CWH",-1.19975713829789,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1980,11.8549814224243,0.308333333333333,0.67240869924947
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1980,116.417960033773,4.75718681921775,0.721162913047491,5000,8.51719319141624,3657.42848566033,9584.31447960661,0.731485697132065,-0.312677611505919,0.0739,0.1301,0.423583683388695,4589947.96260334,15140422.7262565,25.3287472119993,0.014,-1.29417,0.275436,"CWH",-0.489815905873104,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1981,11.6649570465088,0.838333333333333,1.34428391641452
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1981,116.417960033773,4.75718681921775,0.721162913047491,5000,8.51719319141624,10342.3433353596,6998.10302141474,2.06846866707191,0.726808559147804,0.0739,0.1301,0.423583683388695,0,15140422.7262565,25.3287472119993,0.014,-1.29417,0.275436,"CWH",-0.226139061198828,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1982,11.116171836853,-0.2575,-0.0448920436044071
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1982,116.417960033773,4.75718681921775,0.721162913047491,7500,8.9226582995244,15248.5890081964,13965.9567625598,2.03314520109285,0.709583954177847,0.0766,0.1353,0.472345812901247,314582.098977007,15455004.8252335,25.855018545797,0.014,-1.29417,0.275436,"CWH",0.348745701935208,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1983,12.7319047451019,1.24833333333333,1.86403644290068
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1983,116.417960033773,4.75718681921775,0.721162913047491,6500,8.77955745588373,4650.33145151919,7691.95140475978,0.715435607926028,-0.334863679946019,0.0736,0.1318,0.43952514880626,89626.6369242927,15544631.4621578,26.0049569240815,0.014,-1.29417,0.275436,"CWH",0.102676162615815,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1984,11.2616844177246,0.603333333333333,1.04637698050171
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1984,116.417960033773,4.75718681921775,0.721162913047491,4200,8.34283980427146,5623.6605583197,5642.55752305267,1.33896679959993,0.291898271479999,0.0726,0.13,0.422645950128838,0,15544631.4621578,26.0049569240815,0.014,-1.29417,0.275436,"CWH",0.223899781803842,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1985,11.5615906715393,0.0266666666666667,0.31534293918377
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1985,116.417960033773,4.75718681921775,0.721162913047491,5500,8.61250337122056,2202.59068280336,7295.06779445108,0.400471033236975,-0.91511384158885,0.0726,0.1299,0.421708216868981,0,15544631.4621578,26.0049569240815,0.014,-1.29417,0.275436,"CWH",-0.975899339799792,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1986,11.6653771400452,1.0075,1.55873465396877
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1986,116.417960033773,4.75718681921775,0.721162913047491,11650,9.36306145899385,5107.52239302256,14097.7400504667,0.438413939315242,-0.824591747970503,0.0699,0.1249,0.374821553876142,0,15544631.4621578,26.0049569240815,0.014,-1.29417,0.275436,"CWH",0.350838884256251,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1987,11.8725614547729,1.13666666666667,1.72247782796339
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1987,116.417960033773,4.75718681921775,0.721162913047491,7000,8.85366542803745,8177.97419462941,7354.42171735518,1.1682820278042,0.155534317419871,0.0733,0.1315,0.43671194902669,396031.248743177,15940662.710901,26.6674863374824,0.014,-1.29417,0.275436,"CWH",0.886204881291909,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1988,11.6942570209503,-0.0383333333333333,0.232943148399377
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1988,116.417960033773,4.75718681921775,0.721162913047491,3000,8.00636756765025,18089.15181864,3005.41277545731,6.02971727288,1.79670012288697,0.0832,0.1517,0.62613406751776,1267441.13055018,17208103.8414512,28.7878165675046,0.014,-1.29417,0.275436,"CWH",0.908861694724977,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1989,12.2786083221435,-0.504166666666667,-0.357588685555434
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1989,116.417960033773,4.75718681921775,0.721162913047491,3000,8.00636756765025,10834.6091984354,3000.23821891458,3.61153639947848,1.28413327722815,0.0832,0.1517,0.62613406751776,0,17208103.8414512,28.7878165675046,0.014,-1.29417,0.275436,"CWH",0.159477679396109,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1990,12.2221455574036,-0.826666666666667,-0.76641841675492
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1990,116.417960033773,4.75718681921775,0.721162913047491,3600,8.1886891244442,16469.3634432111,3600.10512306959,4.57482317866974,1.52056804850948,0.0835,0.1523,0.6317604670769,58647.0028427154,17266750.8442939,28.8859284324506,0.014,-1.29417,0.275436,"CWH",-0.746598680955878,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1991,11.6154801845551,-0.879166666666667,-0.832972093926929
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1991,116.417960033773,4.75718681921775,0.721162913047491,14000,9.5468126085974,6348.17176014422,14010.2318123949,0.453440840010302,-0.790890469953526,0.0782,0.1421,0.536111674571509,533976.407725447,17800727.2520193,29.7792293457068,0.014,-1.29417,0.275436,"CWH",-0.184879115550353,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1992,12.8353741168976,0.76,1.24498160444358
